run_num,kmer,context_window,epochs,run,Accuracy,F1 Score,Matthews Correlation,Precision,Recall,Runtime,Samples/sec,Steps/sec
20,3,512,10,2,0.5310483128035739,0.25362954508819735,0.09787589159949069,0.2858009137895297,0.6352655426460937,113.4211,3301.827,206.372
21,6,48,10,1,0.5695265916682911,0.27903200446245147,0.09935512928873262,0.2962027823823291,0.6449397433578969,113.8581,3289.154,205.58
22,6,48,10,2,0.5495371124468287,0.2552637113859484,0.10405033101374585,0.2847832882947208,0.6368304912670254,124.9496,2997.184,187.331
23,6,64,10,1,0.5696440825961223,0.26007623485126363,0.1035086291694117,0.28475535253103446,0.6421344207974633,153.8463,2434.228,152.145
24,6,64,10,2,0.48618012961385537,0.23578699012585855,0.08674376658400058,0.280989767811789,0.6153203949429457,140.8609,2658.629,166.171
25,6,128,10,1,0.5099399995193553,0.2524643284089357,0.09374684863976016,0.28794766416587697,0.6367694580863632,154.7525,2419.973,151.254
26,3,48,15,1,0.5424689650384382,0.2528976672524839,0.09419539168856388,0.28354705804563374,0.6227291928552128,101.164,3701.881,115.693
27,3,48,15,2,0.5134700678510108,0.24018606014235336,0.08992653784368014,0.2799006343662313,0.6099989258231121,86.2561,4341.687,135.689
28,3,64,15,1,0.4817662090751061,0.23940076771807517,0.08621179283701474,0.2839444651980501,0.604111342435861,97.7326,3831.852,119.755
29,3,64,15,2,0.5233526570306304,0.24161522733491222,0.09287144998084942,0.2794951549099836,0.6141133528286529,108.228,3460.259,108.142
30,3,128,15,1,0.5101536193881393,0.24317587044383995,0.09217508917242377,0.2823721032042399,0.6308762529592282,107.2337,3492.343,109.145
31,3,128,15,2,0.5017289858129704,0.24521313691915,0.09216083640506506,0.284724570228018,0.6202230180153906,109.9184,3407.045,106.479
32,3,256,15,1,0.5595665652862373,0.25771967629484616,0.09551773230447548,0.28399809295284195,0.6327181776120976,106.5922,3513.363,109.802
33,3,256,15,2,0.5119400155408455,0.24396741739610683,0.09217702077439857,0.28258518629126606,0.6069691384383226,107.3371,3488.981,109.04
34,3,512,15,1,0.5320549964352185,0.24876404917240877,0.08981559206725359,0.2822967441074152,0.6341251448240913,107.4594,3485.01,108.916
35,3,512,15,2,0.5272405386424991,0.2423228970339659,0.09142447247959146,0.27927010648951717,0.6173767187903352,107.6711,3478.156,108.701
36,3,1024,15,1,0.5018892007145584,0.24275265553443992,0.091829087746018,0.28320710392986503,0.6227018121705082,109.3355,3425.209,107.047
37,3,1024,15,2,0.5513235085995348,0.25317892162133704,0.09947333049807118,0.2827761225098033,0.6430220837913819,106.599,3513.138,109.795
38,6,48,15,1,0.5301831523349987,0.24668367773230426,0.09194074270711289,0.2813949540472765,0.6186924626461674,107.5635,3481.636,108.81
39,6,48,15,2,0.5369816046590493,0.2544877032410524,0.09575140331825975,0.28541212921449916,0.6368297908030446,107.488,3484.081,108.887
40,6,64,15,1,0.4951761963380214,0.23099688596893808,0.08830873007425206,0.2771931548680037,0.6338584901167592,106.6762,3510.596,109.715
41,6,64,15,2,0.5130348173683634,0.24636337339174702,0.09043458392881688,0.28362269834123416,0.6106304808319021,109.0463,3434.293,107.331
42,6,128,15,1,0.5322178815851663,0.24755079957115675,0.09277509427414544,0.2817228425860927,0.636302351026838,106.2455,3524.828,110.16
43,6,128,15,2,0.5508348531496915,0.25836769892685946,0.0930513716417198,0.2856202291111003,0.6284108095725229,107.8222,3473.283,108.549
44,6,256,15,1,0.552335532727899,0.2538186390875282,0.09369297195347488,0.2827932757241301,0.6431835096124283,106.9446,3501.787,109.44
45,6,256,15,2,0.5290402860370043,0.2540415466580699,0.0966778709937562,0.28629219242592296,0.6345479059390399,106.5885,3513.484,109.805
46,6,512,15,1,0.5376838799776767,0.2487446073925206,0.09725466324418554,0.2820119862730599,0.6355862641563561,109.4382,3421.995,106.946
47,6,512,15,2,0.5365223219411638,0.24747602533846333,0.09558153561337006,0.28142231315422817,0.6320300027345178,106.1745,3527.184,110.234
48,6,1024,15,1,0.541817424438647,0.24881744008200485,0.09632161587300525,0.28147036454469865,0.6182692045310605,108.8294,3441.137,107.544
49,6,1024,15,2,0.504204306042505,0.2351581466340565,0.09043123917895109,0.27851308091340593,0.6333932583652534,107.6563,3478.634,108.716
50,12,48,15,1,0.535598416008673,0.25463236630499536,0.09084812910635331,0.2853320029284899,0.6330829234303078,105.7402,3541.672,110.686
51,12,48,15,2,0.4955500311083934,0.2351377470563306,0.07988274888235886,0.27874360938723164,0.6195841743855273,109.6148,3416.482,106.774
52,12,64,15,1,0.5469896955115795,0.24815922474290614,0.0919019267453876,0.2799390413410491,0.6173990776521634,107.229,3492.497,109.15
53,12,64,15,2,0.5128238677479392,0.24131284472197723,0.08820705477514577,0.2805024662047363,0.6366088269864982,108.1295,3463.411,108.241
54,12,128,15,1,0.5500871836089475,0.2576538624896583,0.10096046694557878,0.28590787466846473,0.6301471877357774,106.6676,3510.878,109.724
55,12,128,15,2,0.5353554234079312,0.24611190532023608,0.09492260729250733,0.28081433188180277,0.612012163650313,105.9391,3535.022,110.479
56,12,256,15,1,0.5029466190650392,0.24894429488099354,0.0945318060958452,0.2869497555566975,0.6398916264939231,110.9163,3376.394,105.521
57,12,256,15,2,0.5304929011447355,0.24389102685879596,0.09135519584544055,0.2797819342769911,0.6119618333199629,108.1448,3462.922,108.225
58,12,512,15,1,0.5092964696646435,0.23646472220131046,0.09010800999005744,0.2783262251519541,0.6112759718565559,109.7096,3413.53,106.682
59,12,512,15,2,0.503389880292766,0.24413205385312386,0.08917671215324188,0.2835583921831927,0.6173826792191612,106.5984,3513.157,109.795
60,12,1024,15,1,0.5384769437405373,0.24871316252297598,0.09205831671309422,0.28148140790511195,0.6285105771217429,107.4047,3486.785,108.971
61,12,1024,15,2,0.5157638111920789,0.2532728833855669,0.0935058282513053,0.28757820440708737,0.6213577516206048,108.7391,3443.997,107.634
62,24,48,15,1,0.5317399071287621,0.2443787790721704,0.0971087672231837,0.2803935164697931,0.6135005088174329,106.3974,3519.794,110.003
63,24,48,15,2,0.5157531301986398,0.2411600323514793,0.08982047729679252,0.2801414596543682,0.6161408530452894,109.7964,3410.833,106.597
64,24,64,15,1,0.54257844522119,0.2544792868297278,0.09434523680529969,0.2845485453737418,0.6305743951286044,105.5195,3549.078,110.918
65,24,64,15,2,0.5015794519048217,0.23454243143576303,0.08711424544359914,0.27808098169787104,0.6212871121932667,107.4924,3483.941,108.882
66,24,128,15,1,0.5125034379447633,0.23852763162937843,0.09004643441335564,0.27914495217823027,0.6240063953023477,107.5982,3480.513,108.775
67,24,128,15,2,0.5391792190591647,0.2523833186193476,0.09931527641475547,0.2840696413156485,0.6300396748015962,107.0055,3499.791,109.378
68,24,256,15,1,0.5194460836802431,0.24549581002681076,0.08924661005941567,0.28209579933552015,0.6175846109165,107.2839,3490.71,109.094
69,24,256,15,2,0.5289975620632476,0.24347291439481814,0.08654272555995125,0.27929666261420877,0.6096705396946731,106.7107,3509.461,109.68
70,24,512,15,1,0.5391738785624451,0.24977289742177788,0.09106123184713064,0.28183299942027973,0.6342397613568747,107.4787,3484.384,108.896
71,24,512,15,2,0.49129365522287227,0.23673517100053992,0.08746758111188645,0.28095833704611445,0.6161067751207642,107.8957,3470.918,108.475
72,24,1024,15,1,0.5545571793632526,0.2560924408625871,0.09623228710190943,0.2839895968468617,0.6239199875974603,107.1661,3494.546,109.214
73,24,1024,15,2,0.5296170596827211,0.23815561345219688,0.09091346840948844,0.27650143373380914,0.618801057941915,107.5678,3481.498,108.806
74,48,48,15,1,0.5209013690363341,0.24070899452007732,0.08735029277897217,0.27891461666410955,0.6156878481185235,106.6982,3509.87,109.693
75,48,48,15,2,0.5103672392569233,0.23944468850697365,0.0945831526704074,0.2804058492352479,0.6152429082957451,106.7303,3508.815,109.66
76,48,64,15,1,0.5047169937275866,0.2433978945876298,0.08132627655914182,0.28222983209634006,0.619062410050209,107.5004,3483.68,108.874
77,48,64,15,2,0.48839109525576974,0.23367272506764095,0.08520003490540179,0.27943972331612055,0.6155614223757395,106.5069,3516.176,109.89
78,48,128,15,1,0.5247545374195254,0.2519036073463193,0.0916562099043186,0.28531218451808316,0.6332594789547396,108.9943,3435.931,107.382
79,48,128,15,2,0.5326104080940568,0.2400650473716806,0.08816865245591142,0.27701900405031915,0.6302924128374523,106.5497,3514.763,109.845
80,48,256,15,1,0.507154930480084,0.23782629184035795,0.08591275232313784,0.27909830003280994,0.636252671351791,107.6347,3479.335,108.738
81,48,256,15,2,0.525721167325773,0.2497944102797967,0.09415744682382131,0.2841539523200375,0.6207204173122927,108.4155,3454.275,107.955
82,48,512,15,1,0.5048398251521374,0.23536716838010038,0.0855048791288999,0.2781894001252997,0.6102027183160543,107.2337,3492.343,109.145
83,48,512,15,2,0.5465117210551753,0.2522888925652773,0.09998871119978292,0.2830999299439585,0.6235451971791819,109.17,3430.402,107.209
84,48,1024,15,1,0.515430030147104,0.2401522097137734,0.09154637028259158,0.2797277205456609,0.6233600521026215,107.1372,3495.489,109.243
85,48,1024,15,2,0.5403194151087992,0.24450714249556751,0.09602212270671293,0.2793193415439619,0.6208296367896636,108.4178,3454.203,107.953
86,3,48,15,1,0.5517587590821822,0.2515857261424596,0.09485544311444002,0.2814875408795414,0.6217613121296821,101.9454,3673.507,114.807
87,3,48,15,2,0.5173125552407629,0.24876075393695365,0.09262162914574963,0.2845545754273142,0.6357066376909899,110.1412,3400.153,106.264
88,3,64,15,1,0.5058144658034643,0.2424554171623073,0.08359853579716926,0.2817132984342597,0.6193022894061546,109.6982,3413.884,106.693
89,3,64,15,2,0.5260415971289489,0.2431038656359051,0.08881185587336078,0.27985952351192217,0.6103603742989763,110.4061,3391.996,106.009
90,3,128,15,1,0.5000360483528573,0.2376843285834106,0.08875966644589803,0.2802421640065807,0.6119006593438001,108.8169,3441.533,107.557
91,3,128,15,2,0.5189734497205585,0.24860443978223995,0.09210086812989937,0.28419811984292104,0.6279797816177621,110.1737,3399.15,106.232
92,3,256,15,1,0.539334093464033,0.24724437468286117,0.09716704174843639,0.28107116143512306,0.6231959547217791,107.4971,3483.786,108.877
93,3,256,15,2,0.5105808591257073,0.243068243488448,0.09080291494713986,0.2821178337365657,0.6225116303995284,106.1842,3526.861,110.224
94,3,512,15,1,0.5343941339984032,0.24446838963601383,0.09301843134343224,0.27982363072820116,0.6301836738512694,111.4189,3361.162,105.045
95,3,512,15,2,0.5470804839558128,0.2566711401168743,0.09482856927303492,0.2852023585799788,0.6366097978448017,106.3847,3520.215,110.016
96,3,1024,15,1,0.5350857283235914,0.24762702424022562,0.08934340009182555,0.28103597591271384,0.6445028058525,108.8476,3440.564,107.527
97,3,1024,15,2,0.5317105343968043,0.24713356288492438,0.09525792512295182,0.2817221723954436,0.6286457211602992,108.8604,3440.157,107.514
98,6,48,15,1,0.5378440948792648,0.24921805757632898,0.09343079203238844,0.28203357267093615,0.6205102589267792,107.7825,3474.561,108.589
99,6,48,15,2,0.5173098849924032,0.23984671301416619,0.09009146210069405,0.2791540102456769,0.62383078915874,110.5658,3387.096,105.856
100,6,64,15,1,0.5388614595043485,0.2491811095707283,0.09153125130242093,0.2816404976615333,0.617230482100341,106.6204,3512.433,109.773
101,6,64,15,2,0.524172423277089,0.24409316618019714,0.0952625473547399,0.2810174078426154,0.6124840758856682,108.9995,3435.768,107.377
102,6,128,15,1,0.5131202653158771,0.24143092659196796,0.09332128851300071,0.2809254228344909,0.6362420336160757,106.5563,3514.545,109.839
103,6,128,15,2,0.5347145638015792,0.2491972075167441,0.09178378135715454,0.28224533755507397,0.6313977332390761,107.9579,3468.918,108.413
104,6,256,15,1,0.551721375605145,0.2598792705096246,0.09102922630746395,0.286231929207689,0.6257332045712602,110.2694,3396.202,106.14
105,6,256,15,2,0.5140762142286854,0.24200849870391422,0.09406043044956837,0.2811971491875037,0.6221795937835765,106.6289,3512.153,109.764
106,6,512,15,1,0.5334355148372351,0.24988851092538208,0.09702514343579788,0.2833334041290945,0.6154546808817623,108.9468,3437.431,107.429
107,6,512,15,2,0.5234327644814244,0.24584104426272654,0.08722113843673218,0.281626873507312,0.6070851170850813,106.2217,3525.616,110.185
108,6,1024,15,1,0.5060921716328836,0.24027202734339734,0.09247357304965927,0.28120913638953277,0.6150095161533603,106.6555,3511.278,109.737
109,6,1024,15,2,0.5317372368804022,0.24863264361155393,0.09356042997393592,0.28256462530712795,0.6155419253017506,107.876,3471.551,108.495
110,12,48,15,1,0.5279428139611265,0.24743045343293255,0.0930539852937293,0.28229633738179555,0.6164579439525921,108.6521,3446.753,107.72
111,12,48,15,2,0.524920092817833,0.2455045030242201,0.09083202108272233,0.28155224247335536,0.6097503479709274,110.3341,3394.209,106.078
112,12,64,15,1,0.5170695626400211,0.24655345540813506,0.09169378800172645,0.2832162386375013,0.6330017929808288,108.976,3436.508,107.4
113,12,64,15,2,0.5209254012715723,0.24590402511032677,0.08559790145924154,0.28171862044538193,0.62079569910988,109.2298,3428.523,107.15
114,12,128,15,1,0.5127971652643413,0.23993681936618147,0.08879332329803982,0.2796930449486053,0.6153346946018527,107.159,3494.779,109.221
115,12,128,15,2,0.532794655230883,0.2502078025367936,0.090164403600536,0.28312252083452993,0.6180568504237891,106.4241,3518.912,109.975
